date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:30:32	11159/11159	---M--	200	added ('OK')	image/jpeg	etag:%222b97-65b0f78d-6ce856002139724d;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/1.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/1.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:32	31743/31743	---M-Z	200	added ('OK')	text/html	etag:%227bff-65b0f776-ce12836420b52dd8;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/team-profile.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/team-profile.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:33	35543/35543	---M-Z	200	added ('OK')	text/html	etag:%228ad7-65b0f776-2d4d033a8513dac2;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/team-update.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/team-update.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:33	4985/4985	---M-Z	200	added ('OK')	text/html	etag:%221379-65b0f776-fce8b11f96247bc1;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/signin.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/signin.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:33	49273/49273	---M-Z	200	added ('OK')	text/html	etag:%22c079-65b0f776-ba84f4bbd2d850b2;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/index.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/index.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:33	18424/18424	---M--	200	added ('OK')	image/png	etag:%2247f8-65b0f782-6d694667d8f9b39c;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/logo/full-logo.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/logo/full-logo.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:33	5662/5662	---M--	200	added ('OK')	image/png	etag:%22161e-65b0f782-52c1b93c4f3b560;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/logo/collapse-logo.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/logo/collapse-logo.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:34	34454/34454	---M-Z	200	added ('OK')	text/html	etag:%228696-65b0f776-9f36b6171cb6c14d;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/team-add.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/team-add.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:34	78309/78309	---M-Z	200	added ('OK')	text/html	etag:%22131e5-65b0f776-66f607bbbd8b4384;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/team-list.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/team-list.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:34	42441/42441	---M-Z	200	added ('OK')	text/html	etag:%22a5c9-65b0f776-33a865ba1110fc5;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/guest.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/guest.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:34	46829/46829	---M-Z	200	added ('OK')	text/html	etag:%22b6ed-65b0f776-ac85a3708e913443;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/guest-details.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/guest-details.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:35	41259/41259	---M-Z	200	added ('OK')	text/html	etag:%22a12b-65b0f776-d17d0a6bf1979818;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/rooms.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/rooms.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:35	47535/47535	---M-Z	200	added ('OK')	text/html	etag:%22b9af-65b0f775-201fb877425ef40d;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/bookings.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/bookings.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:35	31270/31270	---M-Z	200	added ('OK')	text/html	etag:%227a26-65b0f776-109aeacd1ade4b26;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/invoice.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/invoice.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:35	38883/38883	---M-Z	200	added ('OK')	text/html	etag:%2297e3-65b0f776-10f0dcbe4ebf60a1;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/menu.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/menu.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:35	45034/45034	---M-Z	200	added ('OK')	text/html	etag:%22afea-65b0f776-91ae780d4d19cdf4;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/menu-add.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/menu-add.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:36	37491/37491	---M-Z	200	added ('OK')	text/html	etag:%229273-65b0f776-aa0f362322040a48;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/orders.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/orders.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:36	5541/5541	---M-Z	200	added ('OK')	text/html	etag:%2215a5-65b0f776-74fba78997ef96a5;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/signup.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/signup.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:36	3830/3830	---M-Z	200	added ('OK')	text/html	etag:%22ef6-65b0f775-a1eb127d10b66a21;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/forgot.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/forgot.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:36	4093/4093	---M-Z	200	added ('OK')	text/html	etag:%22ffd-65b0f776-5c00966efa2b2616;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/reset-password.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/reset-password.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:37	3036/3036	---M-Z	200	added ('OK')	text/html	etag:%22bdc-65b0f775-ce1025a89047bf0b;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/404-error-page.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/404-error-page.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:37	3363/3363	---M-Z	200	added ('OK')	text/html	etag:%22d23-65b0f776-342c9c229fdc54ff;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/maintenance.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/maintenance.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:37	822198/822198	---M-Z	200	added ('OK')	text/html	etag:%22c8bb6-65b0f776-4652de84844c6926;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/remix-icons.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/remix-icons.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:37	29093/29093	---M-Z	200	added ('OK')	text/html	etag:%2271a5-65b0f776-65233adc70016fe3;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/material-icons.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/material-icons.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:38	28292/28292	---M-Z	200	added ('OK')	text/html	etag:%226e84-65b0f775-f962178e7e62346d;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/alert-popup.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/alert-popup.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:38	53535/53535	---M-Z	200	added ('OK')	text/html	etag:%22d11f-65b0f776-9282898bc0da4392;gz%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/role.html	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/role.html	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:38	12626/12626	---M--	200	added ('OK')	image/jpeg	etag:%223152-65b0f78e-41b5e12b81e28074;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/9.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/9.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:38	403149/403149	---M--	200	added ('OK')	image/png	etag:%22626cd-65b0f786-31122427c12dba76;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/1.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/1.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:39	307486/307486	---M--	200	added ('OK')	image/png	etag:%224b11e-65b0f786-79bbbe2d5fb31f7e;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/2.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/2.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:39	471789/471789	---M--	200	added ('OK')	image/png	etag:%22732ed-65b0f788-2b83353724ccb336;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/3.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/room/3.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:39	13714/13714	---M--	200	added ('OK')	image/jpeg	etag:%223592-65b0f78e-9826aa1581c0731d;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/8.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/8.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:39	12396/12396	---M--	200	added ('OK')	image/jpeg	etag:%22306c-65b0f78e-bacf37d00ec2525;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/7.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/7.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:39	182408/182408	---M--	200	added ('OK')	image/png	etag:%222c888-65b0f780-595f469caa121616;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/facilities/1.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/facilities/1.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:40	13919/13919	---M--	200	added ('OK')	image/jpeg	etag:%22365f-65b0f78e-98c79739511aed93;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/6.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/6.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:40	9594/9594	---M--	200	added ('OK')	image/jpeg	etag:%22257a-65b0f78e-e1c9cadbf665d848;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/5.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/5.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:40	13141/13141	---M--	200	added ('OK')	image/jpeg	etag:%223355-65b0f78d-1f868304e6c5fca2;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/2.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/2.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:40	11884/11884	---M--	200	added ('OK')	image/jpeg	etag:%222e6c-65b0f78d-9ae3f54e83c54a05;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/3.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/3.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:41	15366/15366	---M--	200	added ('OK')	image/jpeg	etag:%223c06-65b0f78e-d657835fdc29864e;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/4.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/4.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:41	13359/13359	---M--	200	added ('OK')	image/jpeg	etag:%22342f-65b0f78d-9273b3cef36b18a1;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/10.jpg	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/user/10.jpg	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:41	16484/16484	---M--	200	added ('OK')	image/png	etag:%224064-65b0f78d-587bfab6618df6c;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/light.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/light.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:41	3831/3831	---M--	200	added ('OK')	image/png	etag:%22ef7-65b0f78c-29dd8c14a2f7c62c;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/dark.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/dark.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:41	16222/16222	---M--	200	added ('OK')	image/png	etag:%223f5e-65b0f78d-175d102a322b9c64;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-light.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-light.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:42	16559/16559	---M--	200	added ('OK')	image/png	etag:%2240af-65b0f78d-63dc439538e33b2f;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-dark.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-dark.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:42	20814/20814	---M--	200	added ('OK')	image/png	etag:%22514e-65b0f78d-ad4cabcc10e7327f;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-1.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-1.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:42	45751/45751	---M--	200	added ('OK')	image/png	etag:%22b2b7-65b0f78d-6ae92dd7cb6d4efa;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-2.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-2.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
18:30:42	51924/51924	---M--	200	added ('OK')	image/png	etag:%22cad4-65b0f78d-e659ab2a62557499;;;%22	https://maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-3.png	C:/My%20Web%20Sites/admin16/maraviyainfotech.com/projects/luxurious-html-v22/admin/assets/img/tools/side-bg-3.png	(from https://maraviyainfotech.com/projects/luxurious-html-v22/admin/dark.html)
